250 p1 1; p2 54.395604395604394; p3 0.1593625498007968; 
250 p1 1; p2 74.17582417582418; p3 0.05312084993359893; 
250 p1 1; p2 52.1978021978022; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 53.2967032967033; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 52.1978021978022; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 1.593625498007968; 
250 p1 1; p2 55.494505494505496; p3 0.47808764940239046; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 58.79120879120879; p3 0.10624169986719786; 
250 p1 1; p2 53.2967032967033; p3 1.2749003984063745; 
250 p1 1; p2 51.0989010989011; p3 2.602921646746348; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 81.86813186813185; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 53.2967032967033; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 53.2967032967033; p3 0.42496679946879146; 
250 p1 1; p2 56.59340659340659; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 4.4090305444887115; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 65.38461538461539; p3 0.903054448871182; 
250 p1 1; p2 51.0989010989011; p3 0.6374501992031872; 
250 p1 1; p2 52.1978021978022; p3 0.2656042496679947; 
250 p1 1; p2 53.2967032967033; p3 1.9123505976095618; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 52.1978021978022; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 52.1978021978022; p3 0.10624169986719786; 
250 p1 1; p2 52.1978021978022; p3 0.47808764940239046; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 52.1978021978022; p3 1.3280212483399734; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.796812749003984; 
250 p1 1; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 87.36263736263737; p3 0.3187250996015936; 
250 p1 1; p2 63.18681318681318; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 40.0; 
250 p1 1; p2 57.69230769230769; p3 0.10624169986719786; 
250 p1 1; p2 53.2967032967033; p3 1.7529880478087652; 
250 p1 1; p2 79.67032967032966; p3 0.1593625498007968; 
250 p1 1; p2 62.08791208791209; p3 0.37184594953519257; 
250 p1 1; p2 122.52747252747253; p3 0.8499335989375829; 
250 p1 1; p2 50.0; p3 0.6905710491367861; 
250 p1 1; p2 51.0989010989011; p3 0.6374501992031872; 
250 p1 1; p2 50.0; p3 1.1686586985391765; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 76.37362637362637; p3 1.4342629482071714; 
250 p1 1; p2 50.0; p3 2.602921646746348; 
250 p1 1; p2 50.0; p3 1.646746347941567; 
250 p1 1; p2 50.0; p3 1.2217795484727756; 
250 p1 1; p2 67.58241758241758; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.5312084993359893; 
250 p1 1; p2 51.0989010989011; p3 1.9123505976095618; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.37184594953519257; 
250 p1 2; p2 63.18681318681318; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 2.284196547144754; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 57.69230769230769; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 2; p2 50.0; p3 0.1593625498007968; 
250 p1 3; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 2.284196547144754; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 150.0; p3 0.05312084993359893; 
250 p1 1; p2 53.2967032967033; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 53.2967032967033; p3 0.21248339973439573; 
250 p1 1; p2 51.0989010989011; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 1.1686586985391765; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 55.494505494505496; p3 0.2656042496679947; 
250 p1 1; p2 57.69230769230769; p3 0.05312084993359893; 
250 p1 1; p2 65.38461538461539; p3 0.8499335989375829; 
250 p1 3; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 81.86813186813185; p3 0.37184594953519257; 
250 p1 1; p2 90.65934065934066; p3 0.21248339973439573; 
250 p1 1; p2 63.18681318681318; p3 0.05312084993359893; 
250 p1 1; p2 54.395604395604394; p3 0.7436918990703851; 
250 p1 1; p2 55.494505494505496; p3 0.10624169986719786; 
250 p1 1; p2 92.85714285714286; p3 0.2656042496679947; 
250 p1 3; p2 56.59340659340659; p3 0.6905710491367861; 
250 p1 1; p2 71.97802197802199; p3 5.418326693227091; 
250 p1 1; p2 52.1978021978022; p3 0.5843293492695882; 
250 p1 1; p2 50.0; p3 0.5312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.42496679946879146; 
250 p1 1; p2 73.07692307692307; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 1.2217795484727756; 
250 p1 1; p2 57.69230769230769; p3 1.806108897742364; 
250 p1 1; p2 69.78021978021978; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 56.59340659340659; p3 0.0; 
250 p1 1; p2 56.59340659340659; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 1; p2 53.2967032967033; p3 0.2656042496679947; 
250 p1 1; p2 56.59340659340659; p3 2.0717131474103585; 
250 p1 1; p2 50.0; p3 3.9840637450199203; 
250 p1 1; p2 56.59340659340659; p3 0.0; 
250 p1 1; p2 56.59340659340659; p3 0.0; 
250 p1 1; p2 59.89010989010989; p3 0.0; 
250 p1 1; p2 62.08791208791209; p3 0.0; 
250 p1 1; p2 70.87912087912088; p3 0.0; 
250 p1 1; p2 55.494505494505496; p3 1.1686586985391765; 
250 p1 1; p2 52.1978021978022; p3 0.7436918990703851; 
250 p1 1; p2 112.63736263736263; p3 0.0; 
250 p1 1; p2 53.2967032967033; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 55.494505494505496; p3 0.9561752988047809; 
250 p1 1; p2 50.0; p3 1.2217795484727756; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 59.89010989010989; p3 0.6905710491367861; 
250 p1 4; p2 50.0; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 50.0; p3 3.559096945551129; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 2; p2 54.395604395604394; p3 0.10624169986719786; 
250 p1 1; p2 80.76923076923077; p3 0.0; 
250 p1 1; p2 64.28571428571428; p3 0.05312084993359893; 
250 p1 1; p2 57.69230769230769; p3 3.3997343957503317; 
250 p1 1; p2 80.76923076923077; p3 0.10624169986719786; 
250 p1 1; p2 58.79120879120879; p3 3.9840637450199203; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 58.79120879120879; p3 1.0624169986719787; 
250 p1 1; p2 59.89010989010989; p3 1.2217795484727756; 
250 p1 1; p2 52.1978021978022; p3 1.3280212483399734; 
250 p1 1; p2 59.89010989010989; p3 0.6905710491367861; 
250 p1 1; p2 73.07692307692307; p3 1.4873837981407703; 
250 p1 1; p2 65.38461538461539; p3 0.1593625498007968; 
250 p1 1; p2 89.56043956043956; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.37184594953519257; 
250 p1 1; p2 53.2967032967033; p3 0.05312084993359893; 
250 p1 1; p2 66.48351648351648; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 4; p2 52.1978021978022; p3 0.0; 
250 p1 10; p2 52.1978021978022; p3 0.0; 
250 p1 1; p2 55.494505494505496; p3 0.1593625498007968; 
250 p1 1; p2 52.1978021978022; p3 3.240371845949535; 
250 p1 1; p2 50.0; p3 2.6560424966799467; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 64.28571428571428; p3 0.1593625498007968; 
250 p1 1; p2 55.494505494505496; p3 8.871181938911022; 
250 p1 1; p2 57.69230769230769; p3 2.7622841965471445; 
250 p1 1; p2 51.0989010989011; p3 1.540504648074369; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 58.79120879120879; p3 0.21248339973439573; 
250 p1 1; p2 67.58241758241758; p3 0.0; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 60.98901098901099; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.6905710491367861; 
250 p1 1; p2 59.89010989010989; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.8499335989375829; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 2.390438247011952; 
250 p1 1; p2 50.0; p3 4.568393094289508; 
250 p1 1; p2 57.69230769230769; p3 0.2656042496679947; 
250 p1 1; p2 102.74725274725273; p3 0.0; 
250 p1 1; p2 90.65934065934066; p3 0.6374501992031872; 
250 p1 1; p2 56.59340659340659; p3 0.9561752988047809; 
250 p1 1; p2 51.0989010989011; p3 0.3187250996015936; 
250 p1 1; p2 52.1978021978022; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 1.6998671978751658; 
250 p1 1; p2 54.395604395604394; p3 0.796812749003984; 
250 p1 1; p2 50.0; p3 3.187250996015936; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.47808764940239046; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 60.98901098901099; p3 4.090305444887118; 
250 p1 1; p2 50.0; p3 0.903054448871182; 
250 p1 1; p2 64.28571428571428; p3 0.3187250996015936; 
250 p1 1; p2 84.06593406593406; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 3; p2 50.0; p3 1.2217795484727756; 
250 p1 1; p2 50.0; p3 0.6905710491367861; 
250 p1 1; p2 50.0; p3 1.0092961487383798; 
250 p1 1; p2 56.59340659340659; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 59.89010989010989; p3 3.5059760956175303; 
250 p1 1; p2 53.2967032967033; p3 4.621513944223107; 
250 p1 1; p2 54.395604395604394; p3 0.21248339973439573; 
250 p1 1; p2 56.59340659340659; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 58.79120879120879; p3 0.3187250996015936; 
250 p1 1; p2 62.08791208791209; p3 1.3280212483399734; 
250 p1 1; p2 69.78021978021978; p3 0.05312084993359893; 
250 p1 1; p2 52.1978021978022; p3 0.05312084993359893; 
250 p1 1; p2 54.395604395604394; p3 0.10624169986719786; 
250 p1 4; p2 57.69230769230769; p3 0.0; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 77.47252747252747; p3 0.21248339973439573; 
